"TEAM_ABBREVIATION","avg_pred_prob","actual_win_rate"
"ATL",0.473626588687978,0.48780487804878
"BKN",0.312705524417254,0.317073170731707
"BOS",0.74919324065218,0.74390243902439
"CHA",0.233664677754452,0.231707317073171
"CHI",0.487295967689837,0.475609756097561
"CLE",0.762400188036516,0.780487804878049
"DAL",0.482110433682148,0.475609756097561
"DEN",0.605151472768081,0.609756097560976
"DET",0.545708036690646,0.536585365853659
"GSW",0.585742242965412,0.585365853658537
"HOU",0.627180414494826,0.634146341463415
"IND",0.614739112937076,0.609756097560976
"LAC",0.604569440399563,0.609756097560976
"LAL",0.603722535876267,0.609756097560976
"MEM",0.612055466634256,0.585365853658537
"MIA",0.466255191149272,0.451219512195122
"MIL",0.578303292778191,0.585365853658537
"MIN",0.614915715919889,0.597560975609756
"NOP",0.263808105419006,0.25609756097561
"NYK",0.614575111085574,0.621951219512195
"OKC",0.807100839172913,0.829268292682927
"ORL",0.499260866565804,0.5
"PHI",0.323360083129559,0.292682926829268
"PHX",0.416912041806931,0.439024390243902
"POR",0.415702615059488,0.439024390243902
"SAC",0.499142106024996,0.48780487804878
"SAS",0.415932330642131,0.414634146341463
"TOR",0.383404374616009,0.365853658536585
"UTA",0.200670538650497,0.207317073170732
"WAS",0.208034816161656,0.219512195121951
